w1:30,w7:33,w10:41,w3:44,w6:56
22.256,23.282,27.5,30.366000000000003,22.910000000000004
23.381,23.282,26.934999999999995,33.046,22.633
23.395,22.470000000000002,26.565,28.465,22.868
21.435,23.288999999999998,25.969999999999995,34.15,21.442
21.31,23.282,26.625999999999998,30.615,23.598999999999997
21.464999999999996,22.569,24.85,31.006,22.892999999999997
23.660000000000004,23.142,27.060000000000002,31.259999999999998,22.661999999999995
23.133,23.282,27.015,30.814999999999998,20.879999999999995
23.075,23.157,27.146999999999995,31.022,24.025999999999996
22.522000000000002,22.912,27.112000000000002,30.406999999999996,21.93
