w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
6.0,6.0,7.0,8.0,10.0,14.0,13.0,14.0,17.0,10.0
6.0,6.0,7.0,9.0,9.0,14.0,11.0,10.0,16.0,10.0
7.0,8.0,8.0,9.0,10.0,13.0,13.0,17.0,21.0,15.0
6.0,7.0,5.0,8.0,10.0,14.0,11.0,14.0,20.0,14.0
6.0,6.0,8.0,7.0,9.0,14.0,13.0,16.0,19.0,16.0
5.0,6.0,7.0,9.0,10.0,14.0,11.0,13.0,19.0,17.0
7.0,6.0,7.0,7.0,8.0,14.0,11.0,18.0,20.0,10.0
6.0,6.0,7.0,8.0,9.0,13.0,13.0,14.0,16.0,14.0
6.0,7.0,6.0,6.0,9.0,14.0,14.0,15.0,18.0,15.0
6.0,7.0,8.0,9.0,9.0,13.0,12.0,14.0,18.0,14.0
