w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
1090.0,1203.0,1614.0,1743.0,2096.0,3160.0,3262.0,3628.0,4329.0,5361.0
1141.0,1085.0,1549.0,1997.0,2171.0,3233.0,3399.0,3673.0,4672.0,5324.0
1104.0,1143.0,1572.0,1722.0,2120.0,3141.0,3505.0,3662.0,4514.0,5341.0
1057.0,1108.0,1615.0,1740.0,2344.0,3053.0,3409.0,3759.0,4677.0,5523.0
1059.0,1106.0,1593.0,1831.0,2409.0,2873.0,3320.0,3775.0,4549.0,5162.0
1204.0,1254.0,1579.0,1964.0,2254.0,3259.0,3615.0,3577.0,4671.0,5020.0
1035.0,1272.0,1601.0,1721.0,2457.0,2965.0,3293.0,3842.0,4564.0,5210.0
1061.0,1206.0,1631.0,1760.0,2210.0,3401.0,3345.0,3972.0,4503.0,5486.0
1081.0,1135.0,1540.0,1741.0,2272.0,3101.0,3261.0,3658.0,4492.0,5019.0
1013.0,1136.0,1603.0,1786.0,2244.0,3230.0,3689.0,3755.0,4517.0,4929.0
