w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
1195.0,1296.0,1771.0,2051.0,2384.0,3282.0,3448.0,3617.0,4860.0,5444.0
1179.0,1263.0,1686.0,2041.0,2540.0,3426.0,3501.0,3920.0,4707.0,5268.0
1166.0,1314.0,1752.0,1982.0,2412.0,3389.0,3650.0,3849.0,4832.0,5695.0
1202.0,1288.0,1795.0,1952.0,2436.0,3233.0,3654.0,4143.0,4885.0,5299.0
1169.0,1322.0,1756.0,2080.0,2483.0,3189.0,3672.0,3999.0,5015.0,5355.0
1187.0,1343.0,1791.0,2036.0,2570.0,3355.0,3529.0,3905.0,4685.0,5682.0
1155.0,1248.0,1820.0,2040.0,2439.0,3349.0,3567.0,3986.0,4814.0,5547.0
1171.0,1358.0,1694.0,1989.0,2485.0,3416.0,3610.0,3886.0,4990.0,5581.0
1169.0,1336.0,1735.0,1988.0,2534.0,3327.0,3629.0,3708.0,4753.0,5255.0
1145.0,1255.0,1783.0,2008.0,2559.0,3283.0,3671.0,4082.0,4979.0,5398.0
