w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
34.3,28.424000000000003,29.06,33.532000000000004,38.24000000000001,47.988,49.78000000000001,55.056,71.29,71.63
23.85,26.48,24.680000000000003,41.18000000000001,43.019999999999996,47.48800000000001,55.694,45.95,73.55600000000001,81.334
25.2,26.75,28.620000000000005,32.14,38.636,49.64200000000001,42.88400000000001,52.38,66.306,73.70599999999999
23.55,23.096000000000004,24.53,26.259999999999998,38.885000000000005,49.44000000000001,46.605000000000004,46.95000000000001,76.75000000000001,74.454
25.52,21.28,25.828,33.14,32.505,44.97800000000001,44.75000000000001,50.35,76.44000000000001,70.404
34.12,17.804000000000002,26.65,32.888000000000005,43.800000000000004,43.72,62.35,53.046,66.1,62.26
33.6,18.8,28.79,31.792,32.59,47.768,56.38200000000001,57.74999999999999,86.05,79.00000000000001
31.494,27.460000000000004,27.71,32.55200000000001,36.58500000000001,45.44000000000001,47.118,56.86000000000001,65.436,78.909
29.02,23.26,25.828000000000003,28.208,39.43,47.768,54.72,55.25,61.199999999999996,67.92000000000002
28.759999999999998,23.240000000000002,29.72,33.848,35.555,52.44400000000002,56.580000000000005,56.99000000000001,78.44000000000001,69.13500000000002
