DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
0.790645145,0.842716273,0.776371688,0.807553527,0.783786585,,,,,
0.843160859,0.756744724,0.7659485,0.735408944,0.762838782,,,,,
0.792624708,1.023152203,0.769583375,0.741551955,0.951373031,,,,,
0.785203921,0.784009921,0.782282359,0.732173717,0.814942692,,,,,
0.797222525,0.792764708,0.790665145,0.730407198,0.771037682,,,,,
0.806409373,0.781892359,0.785113921,0.779342734,0.741147296,,,,,
0.784963921,0.774930621,0.793184708,0.8199224,0.731954333,,,,,
0.793636708,0.758711813,0.782012359,0.814870326,0.747334698,,,,,
0.785557921,0.79430601,0.776443296,0.790047838,0.805298468,,,,,
0.785803921,0.789247885,0.791090448,0.739948938,0.775757688,,,,,
,,,,,,,,,
0.797,0.810,0.781,0.769,0.789,,0.769,,,
0.792,0.787,0.782,0.760,0.773,,0.760,,,
,,,,,,,,,
,,,,,,,,,
0.797,0.792,0.810,0.787,0.781,0.782,0.769,0.760,0.789,0.773
