DNSGAII-A;DNSGAII-B;NSGAIII;MOEAD;RVEA;;;;;
54000;66900;55300;44000;56600;;;;;
53400;63000;52300;49800;47100;;;;;
51000;48400;52500;45500;41100;;;;;
57100;52100;57800;40100;57100;;;;;
67400;52200;53400;41600;42600;;;;;
59000;52600;54800;56900;48700;;;;;
56000;54800;53200;37400;40900;;;;;
56600;60000;52900;42300;43200;;;;;
59800;52300;54400;44600;45500;;;;;
60000;54000;50500;37600;54100;;;;;
;;;;;;;;;
57430;55630;53710;43980;47690;;43980;;;
56850;53300;53300;43150;46300;;43150;;;
;;;;;;;;;
;;;;;;;;;
57430;56850;55630;53300;53710;53300;43980;43150;47690;46300
