DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
115900,111500,106400,68600,119100,,,,,
104500,96500,107100,97900,59600,,,,,
116900,103500,98000,64400,68200,,,,,
102700,121300,93300,65800,63300,,,,,
105100,114000,113300,77500,63200,,,,,
104900,105300,103600,95400,84200,,,,,
108600,107300,107900,63900,66800,,,,,
103300,100900,98000,67700,82700,,,,,
94000,112700,100400,66400,96600,,,,,
114500,100200,105400,72200,70800,,,,,
,,,,,,,,,
107040,107320,103340,73980,77450,,73980,,,
105000,106300,104500,68150,69500,,68150,,,
,,,,,,,,,
,,,,,,,,,
107040,105000,107320,106300,103340,104500,73980,68150,77450,69500
