DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
3434,3612,4860,4329,4481,,,,,
4987,3313,4707,4672,4566,,,,,
3523,3609,4832,4514,4703,,,,,
4704,4842,4885,4677,4787,,,,,
5159,3420,5015,4549,4795,,,,,
4875,3523,4685,4671,4525,,,,,
3627,4871,4814,4564,4746,,,,,
4767,3598,4990,4503,4633,,,,,
4856,3499,4753,4492,4487,,,,,
3764,4959,4979,4517,4744,,,,,
,,,,,,,,,
4369.600,3924.600,4852.000,4548.800,4646.700,,3924.600,,,
4735.500,3603.500,4846.000,4533.000,4668.000,,3603.500,,,
,,,,,,,,,
,,,,,,,,,
4369.600,4735.500,3924.600,3603.500,4852.000,4846.000,4548.800,4533.000,4646.700,4668.000
