DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
20.8,22.91,41.78,42.855,42.726,,,,,
22.911,22.633,40.265,39.46,40.85,,,,,
23.375,22.868,40.25,40.595,41.531,,,,,
21.351,21.442,40.225,40.455,40.63,,,,,
22.85,23.599,38.35,40.495,40.36,,,,,
23.69,22.893,39.712,44.615,40.836,,,,,
21.37,22.662,40.445,38.725,40.98,,,,,
21.95,20.88,39.458,41.559,40.565,,,,,
20.535,24.026,40.275,43.03,41.436,,,,,
23.118,21.93,43.076,40.11,41.065,,,,,
,,,,,,,,,
22.195,22.584,40.384,41.190,41.098,,22.195,,,
22.400,22.765,40.258,40.545,40.915,,22.400,,,
,,,,,,,,,
,,,,,,,,,
22.195,22.400,22.584,22.765,40.384,40.258,41.190,40.545,41.098,40.915
