DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
65.836,60.655,51.24,55.22,55.056,,,,,
69.48,57.77,54.24,64.015,45.95,,,,,
54.425,51.87,61.55,55.575,52.38,,,,,
60.6,54.71,64.23,52.07,46.95,,,,,
66.916,58.604,64.845,49.92,50.35,,,,,
62.619,69.99,58.899,57.586,53.046,,,,,
49.536,50.45,61.33,59.51,57.75,,,,,
58.716,64.09,58.876,53.06,56.86,,,,,
59.99,59.84,60.82,58.87,55.25,,,,,
65.31,69.93,60.62,63.915,56.99,,,,,
,,,,,,,,,
61.343,59.791,59.665,56.974,53.058,,53.058,,,
61.610,59.222,60.720,56.581,54.051,,54.051,,,
,,,,,,,,,
,,,,,,,,,
61.343,61.610,59.791,59.222,59.665,60.720,56.974,56.581,53.058,54.051
