w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
1243.0,1304.0,1734.0,2050.0,1337.0,3389.0,2114.0,4026.0,3612.0,2016.0
1249.0,1297.0,1690.0,1962.0,1422.0,3307.0,3606.0,1924.0,3313.0,1924.0
1113.0,1264.0,1689.0,1995.0,1520.0,3357.0,2256.0,3600.0,3609.0,3974.0
1136.0,1263.0,1824.0,2137.0,1390.0,3434.0,3884.0,3903.0,4842.0,3903.0
1140.0,1313.0,1727.0,2112.0,1568.0,3422.0,3725.0,4068.0,3420.0,4068.0
1164.0,1351.0,1803.0,2016.0,1471.0,3425.0,2200.0,4182.0,3523.0,4022.0
1169.0,1297.0,1763.0,2075.0,1513.0,3371.0,2248.0,3753.0,4871.0,1923.0
1238.0,1313.0,1762.0,2008.0,1498.0,3455.0,2206.0,4028.0,3598.0,4028.0
1159.0,1326.0,1765.0,2078.0,1506.0,3207.0,3567.0,3971.0,3499.0,3971.0
1165.0,1284.0,1720.0,1986.0,1490.0,3363.0,3721.0,4102.0,4959.0,4102.0
