w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
28.759999999999998,25.52,31.7,33.108000000000004,37.965,49.44,59.110000000000014,51.24,76.93000000000002,88.96700000000001
31.4,31.18,29.080000000000002,32.2,39.04,57.768000000000015,54.445,54.24,76.09,71.28500000000001
31.56,23.919999999999998,26.790000000000006,37.392,41.440000000000005,52.650000000000006,57.71000000000001,61.55,68.74799999999999,88.84
31.56,24.14,26.189999999999998,35.892,41.16,46.51200000000001,57.629999999999995,64.23,79.30799999999999,83.81400000000002
30.06,23.919999999999998,30.928,41.66,44.292,46.13000000000001,55.989999999999995,64.84500000000001,77.346,89.78999999999999
32.440000000000005,23.919999999999998,30.919999999999998,32.632000000000005,39.608,57.85800000000002,61.36100000000002,58.898999999999994,80.378,79.38000000000001
30.36,20.54,34.050000000000004,37.809999999999995,43.86,49.49,59.980000000000004,61.33,80.456,84.93800000000002
31.559999999999995,29.764000000000003,28.620000000000005,34.792,41.199999999999996,53.19200000000001,51.724000000000004,58.87600000000001,76.26,84.688
27.96,28.36,31.190000000000005,33.608,47.529999999999994,44.792,60.906000000000006,60.82,79.426,79.92999999999998
30.06,23.1,30.128,32.872,44.14000000000001,51.23200000000001,54.629,60.620000000000005,80.412,74.13500000000002
