w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
1186.0,1256.0,1572.0,2127.0,2290.0,3127.0,3403.0,3583.0,4481.0,5233.0
1093.0,1198.0,1676.0,1673.0,2296.0,2995.0,3483.0,3709.0,4566.0,5318.0
1054.0,1273.0,1721.0,1715.0,2269.0,3278.0,3144.0,3730.0,4703.0,5080.0
1167.0,1139.0,1657.0,1696.0,2215.0,3056.0,3253.0,3488.0,4787.0,5320.0
1049.0,1085.0,1670.0,1730.0,2340.0,3167.0,3400.0,3570.0,4795.0,5198.0
1102.0,1173.0,1565.0,1884.0,2219.0,2967.0,3506.0,3553.0,4525.0,4873.0
1072.0,1165.0,1634.0,1746.0,2175.0,3048.0,3600.0,3770.0,4746.0,5201.0
1068.0,1202.0,1691.0,1854.0,2474.0,3126.0,3299.0,3832.0,4633.0,5082.0
1094.0,1129.0,1615.0,1942.0,2121.0,3227.0,3334.0,3870.0,4487.0,5088.0
1175.0,1132.0,1679.0,1770.0,2286.0,2969.0,3399.0,3490.0,4744.0,5035.0
