DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
2124,2050,2051,1743,2127,,,,,
2010,1962,2041,1997,1673,,,,,
2142,1995,1982,1722,1715,,,,,
1993,2137,1952,1740,1696,,,,,
2029,2112,2080,1831,1730,,,,,
2014,2016,2036,1964,1884,,,,,
2025,2075,2040,1721,1746,,,,,
2052,2008,1989,1760,1854,,,,,
1962,2078,1988,1741,1942,,,,,
2095,1986,2008,1786,1770,,,,,
,,,,,,,,,
2044.600,2041.900,2016.700,1800.500,1813.700,,1801,,,
2027.000,2033.000,2022.000,1751.500,1758.000,,1752,,,
,,,,,,,,,
,,,,,,,,,
2044.600,2027.000,2041.900,2033.000,2016.700,2022.000,1800.500,1751.500,1813.700,1758.000
