DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
56.352,55.728,49.44,43.738,47.988,,,,,
55.34,50.35,57.768,44.41,47.488,,,,,
53.786,60.4,52.65,47.442,49.642,,,,,
57.57,55.76,46.512,47.018,49.44,,,,,
48.936,49.49,46.13,51.584,44.978,,,,,
56.37,50.43,57.858,42.32,43.72,,,,,
41.944,56.456,49.49,49.112,47.768,,,,,
54.432,53.508,53.192,49.058,45.44,,,,,
55.448,53.776,44.792,39.458,47.768,,,,,
56.016,57.15,51.232,51,52.444,,,,,
,,,,,,,,,
53.619,54.305,50.906,46.514,47.668,,46.514,,,
55.394,54.752,50.361,47.230,47.768,,47.230,,,
,,,,,,,,,
,,,,,,,,,
53.619,55.394,54.305,54.752,50.906,50.361,46.514,47.230,47.668,47.768
