DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
0.981996345,0.972751631,0.887777123,1.003837075,0.992524872,,,,,
0.973127778,0.925928706,0.885051636,1.020656796,0.902853112,,,,,
0.966788569,0.946532212,0.990777984,0.990001153,0.974932403,,,,,
0.892861185,0.839255423,0.905353695,1.028518919,1.039541738,,,,,
0.974346403,1.002555599,0.885739558,0.817382983,0.966771391,,,,,
0.968491894,0.905195695,0.85811282,0.909566556,0.949877569,,,,,
0.976427113,0.996716778,0.952434653,1.005450804,0.92318583,,,,,
0.996125014,0.938389337,0.974956403,1.135354847,0.908683365,,,,,
0.933999282,0.989934323,0.87570283,1.004698765,0.973822452,,,,,
0.998373653,0.991701808,0.88293144,0.917406483,0.962445974,,,,,
,,,,,,,,,
0.966,0.951,0.910,0.983,0.959,,0.910,,,
0.974,0.960,0.887,1.004,0.965,,0.887,,,
,,,,,,,,,
,,,,,,,,,
0.966,0.974,0.951,0.960,0.910,0.887,0.983,1.004,0.959,0.965
